epoch,train_loss,train_acc,val_loss,val_acc,cm_true_Actinic keratoses_pred_Actinic keratoses,cm_true_Basal cell carcinoma_pred_Actinic keratoses,cm_true_Benign keratosis-like lesions_pred_Actinic keratoses,cm_true_Dermatofibroma_pred_Actinic keratoses,cm_true_Melanocytic nevi_pred_Actinic keratoses,cm_true_Melanoma_pred_Actinic keratoses,cm_true_Squamous cell carcinoma_pred_Actinic keratoses,cm_true_Vascular lesions_pred_Actinic keratoses,cm_true_Actinic keratoses_pred_Basal cell carcinoma,cm_true_Basal cell carcinoma_pred_Basal cell carcinoma,cm_true_Benign keratosis-like lesions_pred_Basal cell carcinoma,cm_true_Dermatofibroma_pred_Basal cell carcinoma,cm_true_Melanocytic nevi_pred_Basal cell carcinoma,cm_true_Melanoma_pred_Basal cell carcinoma,cm_true_Squamous cell carcinoma_pred_Basal cell carcinoma,cm_true_Vascular lesions_pred_Basal cell carcinoma,cm_true_Actinic keratoses_pred_Benign keratosis-like lesions,cm_true_Basal cell carcinoma_pred_Benign keratosis-like lesions,cm_true_Benign keratosis-like lesions_pred_Benign keratosis-like lesions,cm_true_Dermatofibroma_pred_Benign keratosis-like lesions,cm_true_Melanocytic nevi_pred_Benign keratosis-like lesions,cm_true_Melanoma_pred_Benign keratosis-like lesions,cm_true_Squamous cell carcinoma_pred_Benign keratosis-like lesions,cm_true_Vascular lesions_pred_Benign keratosis-like lesions,cm_true_Actinic keratoses_pred_Dermatofibroma,cm_true_Basal cell carcinoma_pred_Dermatofibroma,cm_true_Benign keratosis-like lesions_pred_Dermatofibroma,cm_true_Dermatofibroma_pred_Dermatofibroma,cm_true_Melanocytic nevi_pred_Dermatofibroma,cm_true_Melanoma_pred_Dermatofibroma,cm_true_Squamous cell carcinoma_pred_Dermatofibroma,cm_true_Vascular lesions_pred_Dermatofibroma,cm_true_Actinic keratoses_pred_Melanocytic nevi,cm_true_Basal cell carcinoma_pred_Melanocytic nevi,cm_true_Benign keratosis-like lesions_pred_Melanocytic nevi,cm_true_Dermatofibroma_pred_Melanocytic nevi,cm_true_Melanocytic nevi_pred_Melanocytic nevi,cm_true_Melanoma_pred_Melanocytic nevi,cm_true_Squamous cell carcinoma_pred_Melanocytic nevi,cm_true_Vascular lesions_pred_Melanocytic nevi,cm_true_Actinic keratoses_pred_Melanoma,cm_true_Basal cell carcinoma_pred_Melanoma,cm_true_Benign keratosis-like lesions_pred_Melanoma,cm_true_Dermatofibroma_pred_Melanoma,cm_true_Melanocytic nevi_pred_Melanoma,cm_true_Melanoma_pred_Melanoma,cm_true_Squamous cell carcinoma_pred_Melanoma,cm_true_Vascular lesions_pred_Melanoma,cm_true_Actinic keratoses_pred_Squamous cell carcinoma,cm_true_Basal cell carcinoma_pred_Squamous cell carcinoma,cm_true_Benign keratosis-like lesions_pred_Squamous cell carcinoma,cm_true_Dermatofibroma_pred_Squamous cell carcinoma,cm_true_Melanocytic nevi_pred_Squamous cell carcinoma,cm_true_Melanoma_pred_Squamous cell carcinoma,cm_true_Squamous cell carcinoma_pred_Squamous cell carcinoma,cm_true_Vascular lesions_pred_Squamous cell carcinoma,cm_true_Actinic keratoses_pred_Vascular lesions,cm_true_Basal cell carcinoma_pred_Vascular lesions,cm_true_Benign keratosis-like lesions_pred_Vascular lesions,cm_true_Dermatofibroma_pred_Vascular lesions,cm_true_Melanocytic nevi_pred_Vascular lesions,cm_true_Melanoma_pred_Vascular lesions,cm_true_Squamous cell carcinoma_pred_Vascular lesions,cm_true_Vascular lesions_pred_Vascular lesions
21,0.675574956179936,0.7498272628565789,0.6811243972084464,0.7481217872676947,60,26,22,1,11,12,7,0,9,255,5,0,36,13,12,0,8,11,181,0,74,36,4,0,0,6,6,19,14,3,1,0,0,4,9,0,1001,65,0,0,1,5,25,2,135,316,3,0,8,22,12,0,8,7,35,0,0,3,2,1,8,0,0,25
22,0.6522218656085719,0.7528378244990623,0.6410679007917583,0.7631474891261368,54,17,16,1,4,8,5,0,9,260,5,0,34,10,9,0,13,12,188,0,65,35,6,0,0,5,4,19,11,3,1,0,0,6,11,0,1024,68,0,0,2,8,26,2,136,323,4,0,8,21,10,0,6,5,37,0,0,3,2,1,7,0,0,25
23,0.6403746861082323,0.7572796367584641,0.6272301299076936,0.7769869513641756,51,14,12,1,4,6,4,0,11,270,4,0,25,11,12,0,13,10,191,0,59,35,6,0,3,7,6,21,17,3,1,0,0,7,13,0,1051,71,0,0,2,5,26,1,122,321,4,0,6,16,8,0,3,5,35,0,0,3,2,0,6,0,0,25
24,0.6234778042471947,0.7620669233047083,0.6543581726249733,0.7599841834717279,58,21,22,1,10,12,5,0,7,260,5,0,36,15,7,0,8,9,182,0,70,35,4,0,0,5,3,21,11,3,1,0,0,5,12,0,1021,66,0,0,1,3,22,1,126,312,2,0,12,27,14,0,8,9,43,0,0,2,2,0,5,0,0,25
25,0.6089851035527917,0.7676438653637351,0.6318968260471484,0.7710557532621589,56,15,10,1,4,6,4,0,6,263,4,0,29,12,10,0,17,17,201,0,79,40,7,0,0,6,5,21,14,3,1,0,0,4,9,0,1033,73,0,0,0,4,24,1,120,313,2,0,7,21,7,0,3,5,38,0,0,2,2,0,5,0,0,25
26,0.5936876098191369,0.7698154180238871,0.6142973823715171,0.7817319098457889,58,19,15,1,6,11,7,0,8,269,6,0,30,14,9,0,13,10,192,0,68,37,6,0,0,5,4,21,13,2,1,0,0,6,10,0,1068,76,0,0,0,3,23,1,94,307,2,0,7,18,10,0,3,5,37,0,0,2,2,0,5,0,0,25
27,0.5763667506596852,0.7738624025268976,0.6420963543473484,0.7659153815737446,60,18,20,1,7,10,5,0,9,279,8,0,31,16,9,0,10,7,184,0,68,35,4,0,0,6,5,21,17,3,1,0,0,4,10,0,1004,58,0,0,0,2,23,1,147,323,2,0,7,14,10,0,7,7,41,0,0,2,2,0,6,0,0,25
28,0.566954866417915,0.781857664593821,0.6138689586618005,0.7825227362593911,63,25,15,1,7,9,7,0,5,262,4,0,28,10,8,0,13,10,201,0,72,36,5,0,0,5,4,21,9,2,1,0,0,6,8,0,1049,70,0,0,1,5,20,1,114,319,2,0,4,17,8,0,4,6,39,0,0,2,2,0,4,0,0,25
29,0.5588953547917329,0.7804757674464515,0.6351641240463798,0.7706603400553579,60,23,14,1,6,10,4,0,4,254,3,0,24,13,7,0,12,13,201,0,75,37,6,0,0,11,5,21,20,4,1,0,0,4,6,0,1031,68,0,0,2,4,21,1,120,315,2,0,8,21,10,0,5,5,42,0,0,2,2,0,6,0,0,25
30,0.5454424969251129,0.7833876221498371,0.6060592336399712,0.7765915381573745,59,19,10,1,5,7,4,0,5,255,3,0,24,7,6,0,14,15,203,0,71,35,5,0,0,6,5,20,9,2,1,0,0,4,7,0,1025,62,0,0,1,10,24,2,146,334,3,0,7,21,8,0,4,5,43,0,0,2,2,0,3,0,0,25
31,0.5439979575817824,0.7869904254269076,0.6088687249799227,0.7825227362593911,62,19,17,1,8,10,5,0,7,266,3,0,27,13,6,0,10,11,199,0,64,35,3,0,0,9,5,21,16,3,1,0,0,3,8,0,1047,72,0,0,1,3,18,1,113,314,2,0,6,19,10,0,6,5,45,0,0,2,2,0,6,0,0,25
32,0.5199418861278129,0.7919751258513473,0.6149439439369007,0.7761961249505733,53,12,10,1,7,8,3,0,5,267,4,0,27,12,7,0,15,14,206,0,75,35,6,0,0,6,4,21,11,2,1,0,0,4,7,0,1020,62,0,0,1,6,21,1,138,328,2,0,12,21,8,0,5,5,43,0,0,2,2,0,4,0,0,25
33,0.514100259245501,0.7930609021814233,0.5751530661362935,0.7967576117042309,58,15,11,1,6,10,4,0,7,272,5,0,27,11,8,0,14,12,207,0,68,34,6,0,0,6,4,21,9,2,1,0,0,6,8,0,1071,71,0,0,1,8,18,1,98,320,2,0,6,12,7,0,4,4,41,0,0,1,2,0,4,0,0,25
34,0.4988185887969313,0.8018951732306782,0.5974421786061886,0.7844998022933966,57,16,13,1,7,9,4,0,5,264,3,0,26,12,6,0,14,15,207,0,71,34,4,0,0,6,4,21,11,3,1,0,0,4,7,0,1042,66,0,0,1,5,16,1,118,323,2,0,9,21,10,0,7,5,45,0,0,1,2,0,5,0,0,25
35,0.4914988341412437,0.8008093969006022,0.5875759490534734,0.7884539343614076,59,16,12,0,7,10,5,0,6,278,5,1,29,13,8,0,13,10,207,0,75,35,5,0,0,4,1,21,6,1,1,0,0,3,6,0,1041,66,0,0,2,5,18,1,119,322,2,0,6,15,11,0,5,5,41,0,0,1,2,0,5,0,0,25
36,0.4737399539787716,0.8051031487513572,0.591165103798621,0.7916172400158166,60,16,11,1,7,12,4,0,7,278,5,0,28,13,8,0,14,12,213,0,77,35,6,0,0,6,3,21,9,1,1,0,0,3,6,0,1046,70,0,0,0,5,16,1,111,318,2,0,5,11,6,0,5,3,41,0,0,1,2,0,4,0,0,25
37,0.4758090668721668,0.8080643569242918,0.5933563749561106,0.7848952155001977,56,13,12,1,5,7,4,0,9,283,4,0,30,11,7,0,13,7,203,0,62,30,4,0,0,7,4,21,11,1,1,0,0,3,7,0,1013,57,0,0,0,6,20,1,158,340,2,0,8,12,10,0,5,6,44,0,0,1,2,0,3,0,0,25
38,0.4492299047502534,0.8088046589675254,0.5593059914110736,0.8058521154606564,61,21,12,1,6,11,7,0,7,280,5,0,24,9,6,0,14,6,209,0,63,33,6,0,0,5,3,21,8,1,1,0,0,6,7,0,1079,73,0,0,0,7,18,1,99,323,2,0,4,6,6,0,4,2,40,0,0,1,2,0,4,0,0,25
39,0.4440191911443201,0.8127035830618893,0.5825082748574483,0.7868722815342032,52,14,12,1,5,8,3,0,5,271,4,0,24,8,5,0,13,11,205,0,69,33,5,0,0,4,3,21,7,1,1,0,0,3,7,0,1037,64,0,0,1,8,19,1,134,333,2,0,15,20,10,0,8,5,46,0,0,1,2,0,3,0,0,25
40,0.4372475399468331,0.811716513670911,0.5549942469323763,0.8062475286674575,54,12,11,1,4,5,4,0,8,277,4,0,26,10,7,0,14,10,211,0,59,38,4,0,0,7,3,21,10,2,1,0,0,3,7,0,1091,76,0,0,1,7,15,1,87,316,2,0,9,15,9,0,6,5,44,0,0,1,2,0,4,0,0,25
