epoch,train_loss,train_acc,val_loss,val_acc,cm_true_Actinic keratoses_pred_Actinic keratoses,cm_true_Basal cell carcinoma_pred_Actinic keratoses,cm_true_Benign keratosis-like lesions_pred_Actinic keratoses,cm_true_Dermatofibroma_pred_Actinic keratoses,cm_true_Melanocytic nevi_pred_Actinic keratoses,cm_true_Melanoma_pred_Actinic keratoses,cm_true_Squamous cell carcinoma_pred_Actinic keratoses,cm_true_Vascular lesions_pred_Actinic keratoses,cm_true_Actinic keratoses_pred_Basal cell carcinoma,cm_true_Basal cell carcinoma_pred_Basal cell carcinoma,cm_true_Benign keratosis-like lesions_pred_Basal cell carcinoma,cm_true_Dermatofibroma_pred_Basal cell carcinoma,cm_true_Melanocytic nevi_pred_Basal cell carcinoma,cm_true_Melanoma_pred_Basal cell carcinoma,cm_true_Squamous cell carcinoma_pred_Basal cell carcinoma,cm_true_Vascular lesions_pred_Basal cell carcinoma,cm_true_Actinic keratoses_pred_Benign keratosis-like lesions,cm_true_Basal cell carcinoma_pred_Benign keratosis-like lesions,cm_true_Benign keratosis-like lesions_pred_Benign keratosis-like lesions,cm_true_Dermatofibroma_pred_Benign keratosis-like lesions,cm_true_Melanocytic nevi_pred_Benign keratosis-like lesions,cm_true_Melanoma_pred_Benign keratosis-like lesions,cm_true_Squamous cell carcinoma_pred_Benign keratosis-like lesions,cm_true_Vascular lesions_pred_Benign keratosis-like lesions,cm_true_Actinic keratoses_pred_Dermatofibroma,cm_true_Basal cell carcinoma_pred_Dermatofibroma,cm_true_Benign keratosis-like lesions_pred_Dermatofibroma,cm_true_Dermatofibroma_pred_Dermatofibroma,cm_true_Melanocytic nevi_pred_Dermatofibroma,cm_true_Melanoma_pred_Dermatofibroma,cm_true_Squamous cell carcinoma_pred_Dermatofibroma,cm_true_Vascular lesions_pred_Dermatofibroma,cm_true_Actinic keratoses_pred_Melanocytic nevi,cm_true_Basal cell carcinoma_pred_Melanocytic nevi,cm_true_Benign keratosis-like lesions_pred_Melanocytic nevi,cm_true_Dermatofibroma_pred_Melanocytic nevi,cm_true_Melanocytic nevi_pred_Melanocytic nevi,cm_true_Melanoma_pred_Melanocytic nevi,cm_true_Squamous cell carcinoma_pred_Melanocytic nevi,cm_true_Vascular lesions_pred_Melanocytic nevi,cm_true_Actinic keratoses_pred_Melanoma,cm_true_Basal cell carcinoma_pred_Melanoma,cm_true_Benign keratosis-like lesions_pred_Melanoma,cm_true_Dermatofibroma_pred_Melanoma,cm_true_Melanocytic nevi_pred_Melanoma,cm_true_Melanoma_pred_Melanoma,cm_true_Squamous cell carcinoma_pred_Melanoma,cm_true_Vascular lesions_pred_Melanoma,cm_true_Actinic keratoses_pred_Squamous cell carcinoma,cm_true_Basal cell carcinoma_pred_Squamous cell carcinoma,cm_true_Benign keratosis-like lesions_pred_Squamous cell carcinoma,cm_true_Dermatofibroma_pred_Squamous cell carcinoma,cm_true_Melanocytic nevi_pred_Squamous cell carcinoma,cm_true_Melanoma_pred_Squamous cell carcinoma,cm_true_Squamous cell carcinoma_pred_Squamous cell carcinoma,cm_true_Vascular lesions_pred_Squamous cell carcinoma,cm_true_Actinic keratoses_pred_Vascular lesions,cm_true_Basal cell carcinoma_pred_Vascular lesions,cm_true_Benign keratosis-like lesions_pred_Vascular lesions,cm_true_Dermatofibroma_pred_Vascular lesions,cm_true_Melanocytic nevi_pred_Vascular lesions,cm_true_Melanoma_pred_Vascular lesions,cm_true_Squamous cell carcinoma_pred_Vascular lesions,cm_true_Vascular lesions_pred_Vascular lesions
29,1.4370763086046543,0.5289704866252097,1.4048269334259875,0.4697508896797153,48,94,48,3,68,39,12,0,4,80,18,2,37,15,5,4,4,36,95,3,207,81,3,0,0,10,7,6,14,2,0,1,0,9,17,2,697,58,2,2,8,18,41,0,207,208,3,0,22,82,34,7,47,48,37,1,0,3,2,0,10,1,0,17
30,1.4377027481379578,0.5313888066331063,1.250773035004564,0.553183076314749,27,40,34,0,23,19,13,0,37,218,62,16,134,66,28,3,2,7,43,2,43,16,2,0,0,1,4,1,4,0,0,0,1,13,32,0,828,80,3,1,9,26,73,2,217,249,4,0,10,18,9,2,13,17,12,0,0,9,5,0,25,5,0,21
31,1.4193982372348888,0.5363735070575462,1.2465979193288284,0.5618821668643733,49,75,37,2,47,34,16,0,14,146,32,3,56,32,20,1,8,28,96,4,104,62,7,0,1,6,10,5,8,2,1,0,1,18,32,3,889,99,1,1,6,21,38,0,118,204,6,0,7,20,9,5,10,13,9,0,0,18,8,1,55,6,2,23
32,1.4133748641290382,0.5338564801105518,1.2244085399422924,0.546065638592329,45,67,30,2,26,20,11,0,5,102,26,1,23,9,10,1,4,21,79,2,94,42,5,0,1,17,11,8,33,3,1,0,1,21,26,3,838,87,4,1,16,47,73,1,233,264,8,1,14,47,15,5,18,24,23,0,0,10,2,1,22,3,0,22
33,1.403364673829034,0.5397295429868719,1.359754045627578,0.516409648082246,55,65,52,1,51,43,16,0,10,136,33,3,65,23,17,2,2,14,72,2,102,45,3,0,1,11,14,10,39,7,0,0,1,13,25,1,760,66,0,1,5,20,46,2,191,231,5,0,11,46,12,3,27,25,20,0,1,27,8,1,52,12,1,22
34,1.4017120549502535,0.5376073437962688,1.331729081460448,0.5025701858442072,62,130,61,3,43,45,28,0,4,85,19,0,23,13,10,1,10,29,94,3,176,86,5,0,1,31,13,10,41,9,3,1,1,4,21,1,770,64,2,1,4,20,45,1,183,217,3,0,4,19,3,4,11,12,11,0,0,14,6,1,40,6,0,22
35,1.3908773217405033,0.5366696278748396,1.3375139566408687,0.5049426650850138,53,90,58,5,47,46,19,0,7,116,28,2,67,22,9,2,5,25,89,4,172,74,4,0,1,4,2,5,13,1,1,0,0,4,21,2,768,68,0,1,7,26,41,0,159,203,8,0,13,53,15,4,28,28,21,0,0,14,8,1,33,10,0,22
36,1.3702801305489225,0.5422465699338663,1.138705372009036,0.5879794385132463,34,41,28,1,16,20,14,0,26,200,45,10,90,39,25,3,6,24,81,2,93,42,4,0,0,2,4,4,1,2,0,0,3,19,33,3,893,89,3,1,10,17,58,1,164,242,4,0,7,19,9,1,9,15,12,0,0,10,4,1,21,3,0,21
37,1.3715106396293395,0.5411114401342414,1.1857097350641312,0.5547647291419533,44,76,36,3,29,28,16,0,5,109,27,2,41,17,8,2,7,29,101,2,124,54,6,0,0,2,3,5,3,0,0,0,1,19,27,3,853,81,3,1,9,29,57,2,187,246,6,0,20,58,7,5,18,24,23,0,0,10,4,1,32,2,0,22
38,1.369416120927551,0.5407166123778502,1.1218416254338468,0.5899565045472519,9,8,8,1,6,4,2,0,49,242,62,10,105,53,40,2,9,22,73,1,46,34,5,0,0,0,3,5,1,1,0,0,2,14,38,2,879,85,4,1,13,24,71,2,212,257,6,0,4,7,3,1,6,9,5,0,0,15,4,1,32,9,0,22
39,1.3610829922939005,0.5401243707432632,1.1796640351903729,0.5678133649663899,48,71,37,3,30,30,18,0,16,158,32,2,59,22,20,1,8,28,93,1,121,57,4,0,0,5,7,7,8,3,0,0,1,11,29,2,863,86,1,1,6,25,52,2,161,230,4,1,7,28,8,5,25,22,15,0,0,6,4,1,20,2,0,22
40,1.3497123691668786,0.5472806238278551,1.2259255582904949,0.5393436140767102,42,57,31,2,18,14,12,0,13,149,37,2,61,21,17,1,3,15,66,0,67,31,1,1,1,10,4,7,6,4,0,0,1,10,28,1,783,64,1,1,12,33,67,2,248,270,6,0,14,42,22,8,50,38,25,0,0,16,7,1,54,10,0,22
41,1.3372863261535648,0.5421972164643174,1.1372826650426433,0.5658362989323843,51,83,32,3,19,23,19,0,10,131,23,3,48,16,17,2,13,52,119,2,131,81,10,0,1,8,2,7,6,2,1,0,1,14,28,2,852,76,2,1,8,24,53,1,201,243,7,0,2,13,1,4,6,7,6,0,0,7,4,1,24,4,0,22
42,1.3199759234964124,0.545158424637252,1.2497208978216277,0.5551601423487544,42,53,34,2,30,28,16,0,25,190,51,6,82,42,28,2,9,24,87,3,105,51,5,0,2,18,5,10,49,7,1,0,1,15,30,0,821,85,2,0,4,16,44,1,157,223,2,0,3,9,6,1,10,9,8,0,0,7,5,0,33,7,0,23
